national_inv,lead_time,sales_1_month,pieces_past_due,perf_6_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
16,8.0,11,0,0.97,0,No,No,No,Yes,No
1,8.0,0,0,0.99,0,No,No,No,Yes,No
179,2.0,57,0,0.99,0,No,No,Yes,No,No
4,8.0,0,0,0.7,0,No,No,No,Yes,No
2,8.0,0,0,0.79,0,No,No,No,Yes,No
243,9.0,50,0,0.98,0,No,No,No,Yes,No
232,4.0,2,0,0.68,0,No,No,No,Yes,No
46,2.0,0,0,0.83,0,No,No,No,Yes,No
1,8.0,1,0,0.99,0,No,No,No,Yes,No
3303,2.0,2848,0,0.97,130,No,No,No,Yes,No
889,2.0,13,0,0.97,0,No,No,No,Yes,No
2,8.0,0,0,0.97,0,No,No,No,Yes,No
3,12.0,0,0,0.63,0,No,No,Yes,Yes,No
45,8.0,0,0,0.99,0,No,No,No,Yes,No
1,8.0,1,0,0.18,0,No,No,No,Yes,No
8,2.0,0,0,0.5,0,No,No,No,Yes,No
188,8.0,23,0,0.96,0,No,No,No,Yes,No
4,8.0,0,0,0.83,0,No,No,No,Yes,No
0,8.0,2,0,0.82,0,No,No,Yes,Yes,No
12,8.0,0,0,0.95,0,No,No,No,Yes,No
7,15.0,0,0,0.9,0,No,No,No,Yes,No
0,,0,0,-99.0,0,No,No,No,No,No
6,2.0,0,0,0.2,0,Yes,No,No,Yes,No
63,4.0,1,0,0.78,0,No,No,No,Yes,No
13,8.0,43,0,0.0,0,No,No,No,Yes,No
21,9.0,0,0,0.85,0,No,No,No,Yes,No
154,2.0,3,0,0.68,0,No,No,No,Yes,No
13,0.0,2,0,0.0,0,No,No,Yes,No,No
46,8.0,6,0,0.98,0,No,No,No,Yes,No
293,8.0,28,0,0.88,0,No,No,No,Yes,No
6,2.0,0,0,0.89,0,Yes,No,No,Yes,No
49,8.0,0,0,0.99,0,No,No,No,Yes,No
2,8.0,0,0,0.81,0,No,No,No,Yes,No
12,,1,0,-99.0,0,Yes,No,No,Yes,No
1,8.0,0,1,0.08,0,No,No,No,Yes,No
85,8.0,18,0,0.81,0,No,No,No,Yes,No
1,2.0,218,0,1.0,0,No,No,No,Yes,No
14,2.0,1,0,0.84,0,No,No,No,Yes,No
25,4.0,2,0,0.73,0,Yes,No,No,Yes,No
6,8.0,0,0,0.97,0,No,No,No,Yes,No
10,8.0,1,0,0.51,0,Yes,No,No,Yes,No
8,12.0,7,0,0.73,0,No,No,No,Yes,No
7,8.0,2,0,0.91,0,No,No,No,Yes,No
27,8.0,0,0,0.82,0,No,No,No,Yes,No
15,2.0,1,0,0.85,0,No,No,Yes,Yes,No
8,2.0,1,0,0.98,0,No,No,No,Yes,No
4276,8.0,0,0,0.97,0,No,No,No,Yes,No
1,4.0,3,0,0.68,0,Yes,No,No,Yes,No
3,2.0,0,0,0.35,0,Yes,No,No,Yes,No
8,9.0,0,0,0.93,0,No,No,No,Yes,No
883,8.0,29,0,0.79,0,No,No,No,Yes,No
10,4.0,0,0,0.73,0,Yes,No,No,Yes,No
273,2.0,89,0,0.98,0,No,No,No,Yes,No
14,8.0,0,0,1.0,0,No,No,Yes,Yes,No
181,10.0,37,0,0.92,0,No,No,No,Yes,No
3,12.0,0,0,0.78,0,No,No,No,Yes,No
8,8.0,2,0,0.98,0,No,No,No,Yes,No
3,2.0,0,0,0.89,0,Yes,No,No,Yes,No
0,8.0,3,0,0.98,0,No,No,No,Yes,No
0,2.0,1,0,0.84,0,No,No,No,Yes,No
1,,0,0,-99.0,0,No,No,No,Yes,No
2,8.0,0,0,0.81,0,No,No,No,Yes,No
1,8.0,0,0,0.85,0,No,No,No,Yes,No
20,12.0,0,0,0.48,0,Yes,No,No,Yes,No
0,3.0,1,0,0.94,0,No,No,No,Yes,No
16,4.0,0,0,0.73,0,No,No,No,Yes,No
6,2.0,6,0,0.0,0,No,No,No,Yes,No
2,8.0,0,0,0.99,0,No,No,No,Yes,No
3,14.0,0,0,0.89,0,No,No,No,Yes,No
885,,4,0,-99.0,0,No,No,No,Yes,No
54,2.0,30,0,0.8,0,No,No,Yes,Yes,No
875,2.0,445,0,1.0,0,No,No,No,Yes,No
79,8.0,0,0,0.81,0,No,No,No,Yes,No
11,2.0,0,0,0.99,0,Yes,No,No,Yes,No
25,2.0,0,0,0.99,0,No,No,No,Yes,No
0,4.0,0,0,0.68,0,Yes,No,No,Yes,No
943,8.0,0,0,1.0,0,No,No,No,Yes,No
50,14.0,9,0,0.93,0,Yes,No,No,No,No
67,16.0,0,0,0.66,0,No,No,Yes,Yes,No
2444,12.0,0,0,0.48,0,Yes,No,No,Yes,No
2,8.0,1,0,0.9,0,No,No,No,Yes,No
64,,0,0,-99.0,0,Yes,No,No,Yes,No
26,2.0,0,0,0.22,0,Yes,No,No,Yes,No
192,8.0,249,0,1.0,1,No,No,No,Yes,No
60,8.0,0,0,0.19,0,No,No,No,Yes,No
18,14.0,0,0,0.99,0,No,No,No,Yes,No
598,2.0,502,0,0.9,0,No,No,No,Yes,No
3,,0,0,-99.0,0,Yes,No,No,Yes,No
11,12.0,0,0,0.08,0,No,No,No,Yes,No
6,9.0,0,0,0.91,0,Yes,No,No,Yes,No
5,2.0,0,0,0.83,0,No,No,No,Yes,No
35,12.0,0,0,0.74,0,No,No,No,Yes,No
17,4.0,0,0,0.73,0,No,No,No,Yes,No
48,8.0,1,0,0.95,0,No,No,No,Yes,No
10,8.0,14,0,0.84,0,No,No,No,Yes,No
284,2.0,304,0,0.85,0,No,No,No,Yes,No
21,2.0,1,0,0.88,0,No,No,No,Yes,No
6,3.0,0,0,0.98,0,Yes,No,No,Yes,No
23,2.0,0,0,0.99,0,No,No,No,Yes,No
1439,8.0,0,0,-99.0,0,Yes,No,No,Yes,No
2,8.0,0,0,0.51,0,Yes,No,No,Yes,No
5,4.0,0,0,0.24,0,Yes,No,No,Yes,No
55,8.0,34,0,0.89,0,No,No,No,Yes,No
21,8.0,0,0,0.95,0,Yes,No,No,Yes,No
156,8.0,4,0,0.99,0,No,No,No,Yes,No
315,8.0,243,60,0.61,0,No,No,Yes,Yes,No
8,8.0,0,0,0.5,0,Yes,No,No,No,No
7,8.0,0,0,0.91,0,No,No,No,Yes,No
44,8.0,5,0,0.99,0,No,No,No,Yes,No
3,2.0,43,46,0.12,0,No,No,Yes,Yes,No
13,8.0,1,0,0.82,0,No,No,No,Yes,No
227,8.0,94,0,0.97,0,No,No,No,Yes,No
30,8.0,3,0,0.96,0,No,No,Yes,Yes,No
3,2.0,0,0,0.58,0,Yes,No,No,Yes,No
4,4.0,0,0,1.0,0,No,No,No,Yes,No
111,8.0,2,0,0.98,0,No,No,No,Yes,No
0,8.0,1,0,1.0,0,Yes,No,No,Yes,No
35,8.0,0,0,0.82,0,Yes,No,No,Yes,No
0,17.0,0,0,0.99,0,No,No,No,No,No
3,8.0,6,0,0.5,0,Yes,No,No,No,No
14,8.0,61,53,0.14,57,No,No,No,Yes,No
167,8.0,0,0,0.7,0,No,No,No,Yes,No
66,2.0,0,0,0.91,0,No,No,No,Yes,No
0,4.0,0,0,0.73,0,Yes,No,No,Yes,No
3,8.0,4,0,0.79,0,No,No,No,Yes,No
11,8.0,2,0,0.95,0,No,No,No,Yes,No
12,13.0,2,0,0.82,0,Yes,No,No,Yes,No
49,2.0,0,0,0.92,0,No,No,No,Yes,No
340,12.0,0,0,0.95,0,No,No,No,Yes,No
3,2.0,3,0,1.0,0,No,No,No,Yes,No
3,8.0,0,0,0.83,0,No,No,No,Yes,No
60,12.0,0,0,0.93,0,No,No,Yes,Yes,No
320,8.0,129,0,1.0,0,No,No,No,Yes,No
4,10.0,1,0,0.89,0,No,No,No,Yes,No
8,8.0,0,0,0.89,0,No,No,No,Yes,No
78,8.0,15,0,0.89,0,No,No,No,Yes,No
2,12.0,0,0,0.78,0,No,No,No,Yes,No
330,12.0,224,0,0.96,0,No,No,Yes,Yes,No
0,,0,0,-99.0,0,No,No,No,Yes,No
59,8.0,0,0,0.97,0,No,No,No,Yes,No
2,8.0,0,0,0.97,0,No,No,No,Yes,No
131,52.0,3,0,1.0,0,Yes,No,No,Yes,No
7,12.0,0,0,0.56,0,No,No,Yes,Yes,No
0,12.0,1,0,0.78,0,No,No,Yes,Yes,No
6,12.0,0,0,0.73,0,No,No,No,Yes,No
4,12.0,0,0,0.7,0,Yes,No,No,Yes,No
5,4.0,0,0,0.22,0,Yes,No,No,Yes,No
46,9.0,6,0,0.94,0,No,No,No,Yes,No
6,8.0,0,0,1.0,0,No,No,No,Yes,No
11,8.0,0,0,0.8,0,Yes,No,No,Yes,No
2,8.0,0,0,0.42,0,No,No,No,Yes,No
449,52.0,0,0,-99.0,0,Yes,No,No,Yes,No
218,8.0,21,0,0.93,0,No,No,Yes,Yes,No
9,2.0,0,0,0.99,0,No,No,No,Yes,No
313,2.0,233,0,0.93,0,No,No,No,Yes,No
7,9.0,0,0,0.99,0,No,No,No,Yes,No
5,8.0,0,0,0.9,0,No,No,No,Yes,No
23,12.0,3,0,0.77,0,No,No,Yes,Yes,No
5,8.0,0,0,0.98,0,No,No,No,Yes,No
12,8.0,0,0,0.89,0,No,No,No,Yes,No
10,8.0,5,0,0.94,0,No,No,No,Yes,No
0,8.0,0,0,0.42,0,No,No,No,Yes,No
11,2.0,4,0,0.3,0,No,No,No,Yes,No
8,4.0,1,0,0.34,0,No,No,No,Yes,No
3,2.0,0,0,1.0,0,Yes,No,No,Yes,No
3,8.0,0,0,0.97,0,No,No,No,Yes,No
5,2.0,1,0,-99.0,0,No,No,No,Yes,No
9,8.0,11,0,0.94,0,No,No,No,Yes,No
425,13.0,0,0,1.0,0,No,No,No,Yes,No
2,8.0,3,0,0.92,0,No,No,No,Yes,No
57,3.0,8,0,0.94,0,No,No,No,Yes,No
8,9.0,0,0,0.99,0,No,No,No,Yes,No
49,8.0,2,0,0.94,0,Yes,No,No,No,No
3,4.0,0,0,0.77,0,No,No,No,Yes,No
8,8.0,0,0,0.97,0,No,No,No,Yes,No
8,8.0,0,0,0.79,0,No,No,No,Yes,No
3,2.0,1,0,0.98,0,Yes,No,No,Yes,No
937,2.0,8,0,0.82,0,No,No,No,Yes,No
167,12.0,69,0,0.88,0,No,No,No,Yes,No
7624,4.0,3,0,-99.0,0,No,No,No,Yes,No
2,8.0,0,0,0.79,0,No,No,No,Yes,No
14,2.0,9,0,0.92,0,No,No,No,Yes,No
197,12.0,0,0,0.96,0,No,No,No,Yes,No
5,9.0,0,0,1.0,0,No,No,Yes,Yes,No
10,52.0,0,0,0.98,0,No,No,No,Yes,No
3,8.0,0,0,0.9,0,No,No,No,Yes,No
27,8.0,10,0,1.0,0,No,No,No,Yes,No
74,2.0,27,0,0.73,0,No,No,No,Yes,No
0,8.0,0,0,0.37,0,Yes,No,No,Yes,No
589,,1,0,-99.0,0,Yes,No,No,Yes,No
9,9.0,0,0,0.85,0,No,No,No,Yes,No
6,8.0,0,0,0.85,0,No,No,No,Yes,No
13,8.0,1,0,0.99,0,No,No,No,Yes,No
3,9.0,0,0,0.99,0,No,No,No,Yes,No
3,8.0,0,0,0.84,0,No,No,Yes,Yes,No
6,8.0,18,0,1.0,0,No,No,No,Yes,No
2,,0,0,-99.0,0,Yes,No,Yes,Yes,No
3,8.0,2,0,0.77,0,No,No,No,Yes,No
21,12.0,0,0,0.78,0,No,No,No,Yes,No
0,,0,0,-99.0,0,No,No,No,Yes,No
9,8.0,0,0,0.99,0,No,No,No,Yes,No
2,8.0,0,0,0.9,0,No,No,No,Yes,No
50,8.0,0,0,0.68,0,No,No,No,Yes,No
13,12.0,0,0,0.58,0,Yes,No,No,Yes,No
